sentence,label,source,length,clean_sentence,clean_length,preprocessed
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,yelp,19,loved mussels cooked wine reduction duck tender potato dishes delicious,10,loved mussels cooked wine reduction duck tender potato dishes delicious
"The staff are great, the ambiance is great.",1,yelp,8,staff great ambiance great,4,staff great ambiance great
"For service, I give them no stars.",0,yelp,7,service give stars,3,service give stars
Paolo Sorrentino has written a wonderful story about loneliness and Tony has built one of the most unforgettable characters seen in movies in recent years.  ,1,imdb,25,paolo sorrentino written wonderful story loneliness tony built one unforgettable characters seen movies recent years,15,paolo sorrentino written wonderful story loneliness tony built one unforgettable characters seen movies recent years
I can't believe there's even a sequel to this!  ,0,imdb,9,cant believe theres even sequel,5,cant believe theres even sequel
It is simple to use and I like it.,1,amazon,9,simple use like,3,simple use like
It is unusable in a moving car at freeway speed.,0,amazon,10,unusable moving car freeway speed,5,unusable moving car freeway speed
Then I had to continue pairing it periodically since it somehow kept dropping.,0,amazon,13,continue pairing periodically since somehow kept dropping,7,continue pairing periodically since somehow kept dropping
"Despite the pans of reviewers, I liked this movie.  ",1,imdb,9,despite pans reviewers liked movie,5,despite pans reviewers liked movie
We had 7 at our table and the service was pretty fast.,1,yelp,12,7 table service pretty fast,5,7 table service pretty fast
Favorite place in town for shawarrrrrrma!!!!!!,1,yelp,6,favorite place town shawarrrrrrma,4,favorite place town shawarrrrrrma
"As for the ""mains,"" also uninspired.",0,yelp,6,mains also uninspired,3,mains also uninspired
I had Verizon 2 years ago and really liked their service.,1,amazon,11,verizon 2 years ago really liked service,7,verizon 2 years ago really liked service
Worked perfectly!,1,amazon,2,worked perfectly,2,worked perfectly
"Comfortable, Nice Range, Good Battery Life.",1,amazon,6,comfortable nice range good battery life,6,comfortable nice range good battery life
Were JERKS on the phone.,0,amazon,5,jerks phone,2,jerks phone
"Then I exchanged for the same phone, even that had the same problem.",0,amazon,13,exchanged phone even problem,4,exchanged phone even problem
"Very, very sad.",0,yelp,3,sad,1,sad
"I mean really, how do you get so famous for your fish and chips when it's so terrible!?!",0,yelp,18,mean really get famous fish chips terrible,7,mean really get famous fish chips terrible
The CG opening sequence in space looked like it could have been created on Microsoft Slideshow for God's sake!  ,0,imdb,19,cg opening sequence space looked like could created microsoft slideshow gods sake,12,cg opening sequence space looked like could created microsoft slideshow gods sake
This place is hands-down one of the best places to eat in the Phoenix metro area.,1,yelp,16,place handsdown one best places eat phoenix metro area,9,place handsdown one best places eat phoenix metro area
"My father has the V265, and the battery is dying.",0,amazon,10,father v265 battery dying,4,father v265 battery dying
Good product - incredible value.,1,amazon,5,good product incredible value,4,good product incredible value
Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).,1,amazon,21,worked well paired treo 700w skype headset pc using usb bluetooth transceiver,12,worked well paired treo 700w skype headset pc using usb bluetooth transceiver
So anyone near you will hear part of your conversation.,0,amazon,10,anyone near hear part conversation,5,anyone near hear part conversation
And service was super friendly.,1,yelp,5,service super friendly,3,service super friendly
It's still wild stuff though and is highly recommended to fans of giallo cinema.  ,1,imdb,14,still wild stuff though highly recommended fans giallo cinema,9,still wild stuff though highly recommended fans giallo cinema
Always a pleasure dealing with him.,1,yelp,6,always pleasure dealing,3,always pleasure dealing
This is one of the better buffets that I have been to.,1,yelp,12,one better buffets,3,one better buffets
"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!",0,yelp,17,call steakhouse cant properly cook steak dont understand,8,call steakhouse cant properly cook steak dont understand
"In summary, this was a largely disappointing dining experience.",0,yelp,9,summary largely disappointing dining experience,5,summary largely disappointing dining experience
The selection of food was not the best.,0,yelp,8,selection food best,3,selection food best
"The plot doesn't hang together at all, and the acting is absolutely appalling.  ",0,imdb,13,plot doesnt hang together acting absolutely appalling,7,plot doesnt hang together acting absolutely appalling
"The bipolarity of the ruthless thug (one minute a ruthless killer, the next minute a Luv's diaper commercial) is completely unconvincing.  ",0,imdb,21,bipolarity ruthless thug one minute ruthless killer next minute luvs diaper commercial completely unconvincing,14,bipolarity ruthless thug one minute ruthless killer next minute luvs diaper commercial completely unconvincing
A lady at the table next to us found a live green caterpillar In her salad.,0,yelp,16,lady table next us found live green caterpillar salad,9,lady table next us found live green caterpillar salad
It kept getting worse and worse so now I'm officially done.,0,yelp,11,kept getting worse worse im officially done,7,kept getting worse worse im officially done
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0,yelp,23,dont know place managed served blandest food ever eaten preparing indian cuisine,12,dont know place managed served blandest food ever eaten preparing indian cuisine
It deserves strong love.  ,1,imdb,4,deserves strong love,3,deserves strong love
Very disappointing.,0,amazon,2,disappointing,1,disappointing
"He can't act (one of the least scary villains I have ever seen), he can't write (did he write this damn movie in his sleep?  ",0,imdb,25,cant act one least scary villains ever seen cant write write damn movie sleep,14,cant act one least scary villains ever seen cant write write damn movie sleep
"Light weight, I hardly notice it is there.",1,amazon,8,light weight hardly notice,4,light weight hardly notice
This results in the phone being either stuck at max volume or mute.,0,amazon,13,results phone either stuck max volume mute,7,results phone either stuck max volume mute
The kids are very cool too.  ,1,imdb,6,kids cool,2,kids cool
"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.  ",0,imdb,13,slowmoving aimless movie distressed drifting young man,7,slowmoving aimless movie distressed drifting young man
"Otherwise, don't even waste your time on this.  ",0,imdb,8,otherwise dont even waste time,5,otherwise dont even waste time
"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",1,amazon,20,screen size big key pad lit well enough camera quality excellent camera phone,13,screen size big key pad lit well enough camera quality excellent camera phone
I wasted my little money with this earpiece.,0,amazon,8,wasted little money earpiece,4,wasted little money earpiece
Truly awful.,0,amazon,2,truly awful,2,truly awful
"The tracfonewebsite is user friendly and makes it easy toactivate, etc.",1,amazon,11,tracfonewebsite user friendly makes easy toactivate etc,7,tracfonewebsite user friendly makes easy toactivate etc
"One more thing: I can tolerate political incorrectness very well, I'm all for artistic freedom and suspension of disbelief, but the Slavic female character was just too much.  ",0,imdb,28,one thing tolerate political incorrectness well im artistic freedom suspension disbelief slavic female character much,15,one thing tolerate political incorrectness well im artistic freedom suspension disbelief slavic female character much
I don't think I've ever seen a movie half as boring as this self-indulgent piece of junk.  ,0,imdb,17,dont think ive ever seen movie half boring selfindulgent piece junk,11,dont think ive ever seen movie half boring selfindulgent piece junk
"It felt too light and ""tinny."".",0,amazon,6,felt light tinny,3,felt light tinny
Waitress was good though!,1,yelp,4,waitress good though,3,waitress good though
I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.,0,amazon,24,got car charger even week charger brokeni went plug started smoking,11,got car charger even week charger brokeni went plug started smoking
"The acting is like watching wooden puppets moving around and reading from a book, that's how bad it is.  ",0,imdb,19,acting like watching wooden puppets moving around reading book thats bad,11,acting like watching wooden puppets moving around reading book thats bad
My friend did not like his Bloody Mary.,0,yelp,8,friend like bloody mary,4,friend like bloody mary
I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,0,amazon,22,kept catching cable seat pull phone turn,7,kept catching cable seat pull phone turn
Everything about it is fine and reasonable for the price i.e.,1,amazon,11,everything fine reasonable price ie,5,everything fine reasonable price ie
After a year the battery went completely dead on my headset.,0,amazon,11,year battery went completely dead headset,6,year battery went completely dead headset
"A greasy, unhealthy meal.",0,yelp,4,greasy unhealthy meal,3,greasy unhealthy meal
The only thing I did like was the prime rib and dessert section.,1,yelp,13,thing like prime rib dessert section,6,thing like prime rib dessert section
Overall I was not impressed and would not go back.,0,yelp,10,overall impressed would go back,5,overall impressed would go back
So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,0,yelp,19,nutshell 1 restaraunt smells like combination dirty fish market sewer,10,nutshell 1 restaraunt smells like combination dirty fish market sewer
You wont regret it!  ,1,imdb,4,wont regret,2,wont regret
Keep up the good work Amazon!!,1,amazon,6,keep good work amazon,4,keep good work amazon
Obviously there is a problem with the adhesive.,0,amazon,8,obviously problem adhesive,3,obviously problem adhesive
Seller shipped quickly and much cheaper than the competitors.,1,amazon,9,seller shipped quickly much cheaper competitors,6,seller shipped quickly much cheaper competitors
Wow... Loved this place.,1,yelp,4,wow loved place,3,wow loved place
Works well.,1,amazon,2,works well,2,works well
The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!,0,yelp,20,server negligent needs made us feel unwelcome would suggest place,10,server negligent needs made us feel unwelcome would suggest place
The visual effects were AWFUL.  ,0,imdb,5,visual effects awful,3,visual effects awful
I was very excited to get this headset because I thought it was really cute.,1,amazon,15,excited get headset thought really cute,6,excited get headset thought really cute
This one works and was priced right.,1,amazon,7,one works priced right,4,one works priced right
I would recommend this.,1,amazon,4,would recommend,2,would recommend
"It was attached to a gas station, and that is rarely a good sign.",0,yelp,14,attached gas station rarely good sign,6,attached gas station rarely good sign
Price is good too.,1,amazon,4,price good,2,price good
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0,yelp,24,service little slow considering served 3 people servers food coming slow pace,12,service little slow considering served 3 people servers food coming slow pace
I'm not impressed with the concept or the food.,0,yelp,9,im impressed concept food,4,im impressed concept food
It is not just a cult... it is a cult CLASSIC.  ,1,imdb,11,cult cult classic,3,cult cult classic
I've bought $5 wired headphones that sound better than these.,0,amazon,10,ive bought 5 wired headphones sound better,7,ive bought 5 wired headphones sound better
Much better than the other AYCE sushi place I went to in Vegas.,1,yelp,13,much better ayce sushi place went vegas,7,much better ayce sushi place went vegas
"The service was not up to par, either.",0,yelp,8,service par either,3,service par either
"Sorry, I will not be getting food from here anytime soon :(",0,yelp,12,sorry getting food anytime soon,5,sorry getting food anytime soon
Poor product.,0,amazon,2,poor product,2,poor product
It was horrendous.  ,0,imdb,3,horrendous,1,horrendous
This is just a great movie.  ,1,imdb,6,great movie,2,great movie
"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",0,yelp,23,got sitting fairly fast ended waiting 40 minutes place order another 30 minutes food arrived,15,got sitting fairly fast ended waiting 40 minutes place order another 30 minutes food arrived
It's also great to see that renowned silent screenwriter Frances Marion hasn't missed a step going from silent to sound.  ,1,imdb,20,also great see renowned silent screenwriter frances marion hasnt missed step going silent sound,14,also great see renowned silent screenwriter frances marion hasnt missed step going silent sound
Vivian Schilling did an excellent job with the script.  ,1,imdb,9,vivian schilling excellent job script,5,vivian schilling excellent job script
"The look of it is very sharp and the screen is nice and clear, with great graphics.",1,amazon,17,look sharp screen nice clear great graphics,7,look sharp screen nice clear great graphics
The acting is beyond abysmal.  ,0,imdb,5,acting beyond abysmal,3,acting beyond abysmal
When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.,1,yelp,21,received pita huge lot meat thumbs,6,received pita huge lot meat thumbs
"I really recommend this faceplates since it looks very nice, elegant and cool.",1,amazon,13,really recommend faceplates since looks nice elegant cool,8,really recommend faceplates since looks nice elegant cool
We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,1,yelp,17,made drive way north scottsdale one bit disappointed,8,made drive way north scottsdale one bit disappointed
Terrible.. My car will not accept this cassette.,0,amazon,8,terrible car accept cassette,4,terrible car accept cassette
Service was good and the company was better!,1,yelp,8,service good company better,4,service good company better
!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!,0,yelp,21,owners really really need quit soooooo cheap let wrap freaking sandwich two papers one,14,owners really really need quit soooooo cheap let wrap freaking sandwich two papers one
DO NOT BUY DO NOT BUYIT SUCKS,0,amazon,7,buy buyit sucks,3,buy buyit sucks
Lots of holes in the script.  ,0,imdb,6,lots holes script,3,lots holes script
The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,1,amazon,25,pairing two devices easy barely took couple minutes started making calls voice dialing feature,14,pairing two devices easy barely took couple minutes started making calls voice dialing feature
An excellent new restaurant by an experienced Frenchman.,1,yelp,8,excellent new restaurant experienced frenchman,5,excellent new restaurant experienced frenchman
The movie is terribly boring in places.  ,0,imdb,7,movie terribly boring places,4,movie terribly boring places
"The story is lame, not interesting and NEVER really explains the sinister origins of the puppets.  ",0,imdb,16,story lame interesting never really explains sinister origins puppets,9,story lame interesting never really explains sinister origins puppets
Great phone.,1,amazon,2,great phone,2,great phone
And I really did find them funny.  ,1,imdb,7,really find funny,3,really find funny
"Very good, though!",1,yelp,3,good though,2,good though
The sound quality is good and functionality is awesome.,1,amazon,9,sound quality good functionality awesome,5,sound quality good functionality awesome
Rating: 0/10 (Grade: Z) Note: The Show Is So Bad That Even Mother Of The Cast Pull Her Daughter Out Of The Show.  ,0,imdb,23,rating 010 grade z note show bad even mother cast pull daughter show,13,rating 010 grade z note show bad even mother cast pull daughter show
Have been going since 2007 and every meal has been awesome!!,1,yelp,11,going since 2007 every meal awesome,6,going since 2007 every meal awesome
"It is well made, easy to access the phone and has a handy, detachable belt clip.",1,amazon,16,well made easy access phone handy detachable belt clip,9,well made easy access phone handy detachable belt clip
