sentence,clean_sentence,label,source,length,clean_length
So there is no way for me to plug it in here in the US unless I go by a converter.,way plug us unless go converter,0,amazon,21,6
"Good case, Excellent value.",good case excellent value,1,amazon,4,4
Great for the jawbone.,great jawbone,1,amazon,4,2
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,tied charger conversations lasting 45 minutesmajor problems,0,amazon,11,7
The mic is great.,mic great,1,amazon,4,2
I have to jiggle the plug to get it to line up right to get decent volume.,jiggle plug get line right get decent volume,0,amazon,17,8
"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",several dozen several hundred contacts imagine fun sending one one,0,amazon,21,10
If you are Razr owner...you must have this!,razr owneryou must,1,amazon,8,3
"Needless to say, I wasted my money.",needless say wasted money,0,amazon,7,4
What a waste of money and time!.,waste money time,0,amazon,7,3
And the sound quality is great.,sound quality great,1,amazon,6,3
He was very impressed when going from the original battery to the extended battery.,impressed going original battery extended battery,1,amazon,14,6
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,two seperated mere 5 ft started notice excessive static garbled sound headset,0,amazon,22,12
Very good quality though,good quality though,1,amazon,4,3
"The design is very odd, as the ear ""clip"" is not very comfortable at all.",design odd ear clip comfortable,0,amazon,15,5
Highly recommend for any one who has a blue tooth phone.,highly recommend one blue tooth phone,1,amazon,11,6
I advise EVERYONE DO NOT BE FOOLED!,advise everyone fooled,0,amazon,7,3
So Far So Good!.,far good,1,amazon,4,2
Works great!.,works great,1,amazon,2,2
It clicks into place in a way that makes you wonder how long that mechanism would last.,clicks place way makes wonder long mechanism would last,0,amazon,17,9
"I went on Motorola's website and followed all directions, but could not get it to pair again.",went motorolas website followed directions could get pair,0,amazon,17,8
I bought this to use with my Kindle Fire and absolutely loved it!,bought use kindle fire absolutely loved,1,amazon,13,6
The commercials are the most misleading.,commercials misleading,0,amazon,6,2
I have yet to run this new battery below two bars and that's three days without charging.,yet run new battery two bars thats three days without charging,1,amazon,17,11
I bought it for my mother and she had a problem with the battery.,bought mother problem battery,0,amazon,14,4
Great Pocket PC / phone combination.,great pocket pc phone combination,1,amazon,6,5
